,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
ace_vaxinpad,0.64,0.6095238095238097,0.6666666666666666,0.6250000000000001,0.5208333333333334,0.5137614678899083,0.5833333333333334,0.6,0.6238532110091742,0.6607142857142857,0.5765765765765766,0.6476190476190475,0.6779661016949152,0.5660377358490566,0.6095238095238096,0.6034482758620691,0.5490196078431373,0.660377358490566,0.577319587628866,0.6486486486486486,0.6050420168067226,0.6486486486486487,0.6226415094339622,0.6422018348623854,0.6422018348623854,0.6168224299065421,0.6923076923076923,0.5818181818181818,0.6260869565217392,0.6386554621848739,0.6785714285714286,0.6071428571428571,0.6296296296296297,0.6355140186915887,0.5862068965517241,0.6034482758620691,0.5925925925925926,0.6774193548387096,0.6213592233009709,0.6037735849056605,0.5504587155963302,0.5384615384615384,0.6666666666666665,0.6346153846153847,0.6902654867256638,0.6481481481481481,0.5925925925925926,0.6101694915254237,0.556701030927835,0.6
acp_anticp,0.7608695652173912,0.6382978723404255,0.6521739130434782,0.7476635514018692,0.7294117647058822,0.7326732673267325,0.6888888888888889,0.6666666666666666,0.6881720430107527,0.723404255319149,0.7551020408163266,0.7111111111111111,0.6391752577319588,0.707070707070707,0.7096774193548386,0.651685393258427,0.7209302325581395,0.7500000000000001,0.6818181818181818,0.6956521739130436,0.7216494845360825,0.6597938144329897,0.7333333333333333,0.6804123711340205,0.723404255319149,0.702127659574468,0.723404255319149,0.7529411764705882,0.7184466019417477,0.6739130434782609,0.6956521739130436,0.7010309278350516,0.7333333333333333,0.6666666666666666,0.7333333333333333,0.625,0.7045454545454545,0.7173913043478262,0.723404255319149,0.7254901960784313,0.6382978723404255,0.7999999999999999,0.6067415730337078,0.7096774193548386,0.7157894736842104,0.6236559139784946,0.7200000000000001,0.6818181818181818,0.7472527472527473,0.7474747474747475
acp_iacp,0.34285714285714286,0.3783783783783784,0.48780487804878053,0.34285714285714286,0.2941176470588235,0.19354838709677416,0.4736842105263158,0.12903225806451613,0.2777777777777778,0.4444444444444444,0.4102564102564102,0.46153846153846156,0.24242424242424243,0.2941176470588235,0.34285714285714286,0.3243243243243243,0.3333333333333333,0.19354838709677416,0.3125,0.30769230769230765,0.3888888888888889,0.3888888888888889,0.34285714285714286,0.34285714285714286,0.41025641025641024,0.35294117647058826,0.29411764705882354,0.25,0.5,0.303030303030303,0.5128205128205129,0.46808510638297873,0.35294117647058826,0.37837837837837834,0.3888888888888889,0.2857142857142857,0.24242424242424243,0.12903225806451613,0.4444444444444444,0.41025641025641024,0.16666666666666666,0.23529411764705882,0.45000000000000007,0.2857142857142857,0.21621621621621623,0.3243243243243243,0.3333333333333333,0.34285714285714286,0.32432432432432434,0.41025641025641024
acp_mlacp,0.47058823529411764,0.2222222222222222,0.391304347826087,0.42307692307692313,0.34615384615384615,0.4905660377358491,0.2978723404255319,0.18604651162790697,0.18604651162790697,0.375,0.339622641509434,0.21739130434782608,0.23255813953488372,0.26666666666666666,0.43137254901960786,0.2127659574468085,0.4,0.34615384615384615,0.3673469387755103,0.2173913043478261,0.26666666666666666,0.20833333333333334,0.4255319148936171,0.3111111111111111,0.5090909090909091,0.5263157894736843,0.32653061224489793,0.34782608695652173,0.3181818181818182,0.2916666666666667,0.46153846153846156,0.3673469387755102,0.43137254901960786,0.27272727272727276,0.3111111111111111,0.3773584905660377,0.2857142857142857,0.3404255319148936,0.35555555555555557,0.44000000000000006,0.3333333333333333,0.2909090909090909,0.39215686274509803,0.4705882352941177,0.2978723404255319,0.3137254901960784,0.32653061224489793,0.391304347826087,0.19047619047619047,0.4166666666666667
afp_amppred,0.6831119544592029,0.6450450450450451,0.6280373831775701,0.6367041198501873,0.6475095785440613,0.6473988439306358,0.6628352490421456,0.6556169429097607,0.6355140186915887,0.6935779816513762,0.6799276672694394,0.634980988593156,0.6642857142857143,0.6536203522504893,0.6174242424242424,0.6568265682656825,0.6489563567362429,0.6920289855072463,0.6791744840525328,0.6352941176470588,0.6447876447876448,0.6716417910447762,0.656880733944954,0.6368715083798883,0.624031007751938,0.6520947176684881,0.6728624535315983,0.6666666666666665,0.64453125,0.6703499079189686,0.6346153846153847,0.6787658802177858,0.6297709923664122,0.6353383458646615,0.6165413533834587,0.6333333333333333,0.6195028680688336,0.6666666666666666,0.6705653021442496,0.6142034548944338,0.6339468302658486,0.6714801444043321,0.6518518518518518,0.643253234750462,0.6666666666666666,0.6358595194085027,0.627906976744186,0.6520146520146521,0.6436781609195402,0.6641651031894934
afp_antifp,0.5461121157323688,0.5468164794007491,0.45914396887159536,0.5236363636363637,0.5464480874316939,0.5255474452554745,0.5408348457350272,0.5315985130111525,0.5282331511839709,0.5231910946196661,0.5251396648044692,0.5428571428571428,0.5595667870036101,0.5046382189239332,0.5257352941176471,0.5303867403314916,0.5298507462686567,0.5303867403314916,0.5342960288808665,0.4963768115942029,0.5585585585585586,0.5259259259259259,0.5692883895131087,0.5114638447971781,0.5309090909090909,0.5282331511839709,0.5018450184501845,0.5499999999999999,0.5321428571428573,0.5163636363636364,0.5103969754253308,0.50187265917603,0.5509433962264151,0.4981549815498155,0.5444444444444444,0.532347504621072,0.5431192660550459,0.5597147950089126,0.5487364620938627,0.4692307692307693,0.5392857142857143,0.5480427046263344,0.5328330206378987,0.5294117647058824,0.5228519195612431,0.5377532228360958,0.5571428571428572,0.5565217391304348,0.5338645418326693,0.4980988593155894
ai4avp,0.31496062992125984,0.31329113924050633,0.31811023622047246,0.32653061224489793,0.34915773353751917,0.35454545454545455,0.32348367029548986,0.31279620853080564,0.31347962382445144,0.3460949464012251,0.3451463790446841,0.3239875389408099,0.2806451612903225,0.31279620853080564,0.33488372093023255,0.2934609250398724,0.34756097560975613,0.27140549273021,0.35548686244204014,0.31726283048211507,0.322378716744914,0.3037974683544304,0.34674922600619196,0.334375,0.325508607198748,0.32398753894080995,0.3405572755417957,0.31496062992125984,0.3255813953488372,0.28298887122416533,0.28343949044585987,0.29392971246006394,0.37650602409638556,0.3338533541341654,0.3144654088050315,0.327613104524181,0.35038759689922483,0.31974921630094044,0.30303030303030304,0.34728682170542635,0.3159557661927331,0.31595576619273297,0.2857142857142857,0.3123028391167192,0.3425925925925926,0.32398753894080995,0.36697247706422015,0.3177570093457944,0.286634460547504,0.2933753943217666
ai4avp_2,0.6917293233082706,0.6271186440677966,0.6833333333333333,0.6153846153846154,0.6666666666666667,0.6016260162601625,0.6386554621848739,0.7244094488188977,0.6434782608695653,0.6507936507936507,0.5833333333333334,0.6434782608695652,0.6766917293233082,0.6507936507936507,0.7096774193548386,0.6825396825396826,0.5806451612903227,0.6611570247933884,0.6614173228346457,0.719298245614035,0.65,0.6861313868613139,0.701492537313433,0.6721311475409836,0.5535714285714285,0.6825396825396826,0.6406250000000001,0.64,0.6666666666666666,0.6071428571428571,0.6774193548387097,0.6153846153846153,0.6837606837606838,0.640625,0.6194690265486726,0.6666666666666667,0.6616541353383459,0.6548672566371682,0.628099173553719,0.6842105263157895,0.6393442622950819,0.7520000000000001,0.656,0.6031746031746031,0.6821705426356589,0.6666666666666667,0.6870229007633587,0.672,0.6101694915254238,0.6126126126126126
aip_aippred,0.4732824427480916,0.4251968503937008,0.4307692307692308,0.45390070921985815,0.4927536231884058,0.35384615384615387,0.48854961832061056,0.4492753623188406,0.4393939393939394,0.4923076923076923,0.5430463576158939,0.4724409448818898,0.4461538461538461,0.40601503759398494,0.4032258064516129,0.4748201438848921,0.5217391304347826,0.5294117647058824,0.39999999999999997,0.43283582089552236,0.4210526315789474,0.40650406504065045,0.5390070921985816,0.4507042253521127,0.4592592592592593,0.5072463768115942,0.5,0.4925373134328358,0.4335664335664336,0.5271317829457365,0.4864864864864864,0.5401459854014599,0.435483870967742,0.41269841269841273,0.381679389312977,0.4427480916030534,0.4782608695652174,0.5112781954887218,0.3969465648854962,0.48854961832061056,0.4963503649635036,0.5223880597014926,0.4895104895104895,0.48000000000000004,0.4094488188976378,0.5547445255474452,0.359375,0.5379310344827586,0.4029850746268657,0.5285714285714285
aip_antiinflam,0.40293040293040294,0.4357142857142857,0.411764705882353,0.46643109540636046,0.5,0.47781569965870313,0.4074074074074074,0.38596491228070173,0.38235294117647056,0.4814814814814814,0.48550724637681164,0.40701754385964906,0.42335766423357657,0.49477351916376305,0.4290909090909091,0.46209386281588444,0.4738675958188153,0.4359861591695502,0.4452296819787986,0.4163568773234201,0.4169611307420495,0.4522968197879858,0.5138888888888888,0.4675324675324676,0.4142857142857143,0.4202898550724638,0.4199288256227758,0.45774647887323944,0.5102040816326531,0.48109965635738833,0.4909747292418774,0.3942652329749104,0.35335689045936397,0.4727272727272728,0.47017543859649125,0.4237918215613383,0.3954372623574144,0.3882783882783883,0.45051194539249145,0.46099290780141844,0.5,0.4492753623188406,0.45936395759717313,0.4,0.44999999999999996,0.4429065743944636,0.41328413284132837,0.5068493150684932,0.4872727272727273,0.43986254295532645
